"car_park_no","address","x_coord","y_coord","car_park_type","type_of_parking_system","short_term_parking","free_parking","night_parking","car_park_decks","gantry_height","car_park_basement","combined_coords","converted_combined_coords","central"
"ACB","BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK","30314.7936","31490.4942","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","1","1.80","Y","31490.4942 30314.7936","103.85411804993062 1.3010632720874966","Yes"
"ACM","BLK 98A ALJUNIED CRESCENT","33758.4143","33695.5198","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","5","2.10","N","33695.5198 33758.4143","103.88506094761496 1.3210042901059609","No"
"AH1","BLK 101 JALAN DUSUN","29257.7203","34500.3599","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","34500.3599 29257.7203","103.84461988914568 1.328283495109407","No"
"AK19","BLOCK 253 ANG MO KIO STREET 21","28185.4359","39012.6664","SURFACE CAR PARK","COUPON PARKING","7AM-7PM","NO","NO","0","0.00","N","39012.6664 28185.4359","103.83498485034055 1.3690912161435604","No"
"AK31","BLK 302/348 ANG MO KIO ST 31","29482.0290","38684.1754","SURFACE CAR PARK","COUPON PARKING","NO","NO","NO","0","0.00","N","38684.1754 29482.0290","103.84663563161574 1.3661204243173293","No"
"AK52","BLOCK 513 ANG MO KIO ST 53","29889.3457","39382.8134","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","NO","YES","0","0.00","N","39382.8134 29889.3457","103.85029569742481 1.3724386334422465","No"
"AK6","BLOCK 728 ANG MO KIO AVE 6","29283.7324","39647.8906","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","39647.8906 29283.7324","103.8448538415614 1.3748359294533554","No"
"AK83","BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2","31397.2241","39851.6191","SURFACE CAR PARK","COUPON PARKING","NO","NO","NO","0","0.00","N","39851.6191 31397.2241","103.86384511310682 1.3766782086821643","No"
"AK9","ANG MO KIO AVENUE 9","29674.8184","40616.8750","SURFACE CAR PARK","COUPON PARKING","NO","NO","NO","0","0.00","N","40616.8750 29674.8184","103.8483680866534 1.3835990576551445","No"
"AM14","BLK 227 ANG MO KIO ST 23","28777.0707","38973.9528","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","6","2.15","N","38973.9528 28777.0707","103.84030110265202 1.368741094555012","No"
"AM16","BLK 256A ANG MO KIO STREET 21","28267.0582","39151.8344","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","2","2.15","N","39151.8344 28267.0582","103.83571828515677 1.3703498012136122","No"
"AM18","BLK 308C ANG MO KIO AVE 1","29257.6457","38619.9953","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","3","2.15","N","38619.9953 29257.6457","103.84461939021914 1.3655400127862634","No"
"AM19","BLK 260 ANG MO KIO ST 21","28134.9305","38989.9965","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","6","2.15","N","38989.9965 28134.9305","103.83453102382205 1.3688861979339546","No"
"AM20","BLK 309B ANG MO KIO ST 31","29421.1502","38526.8611","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","38526.8611 29421.1502","103.84608858611757 1.3646977329371186","No"
"AM22","BLK 316B ANG MO KIO STREET 31","29595.2539","38514.7606","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","38514.7606 29595.2539","103.84765302635225 1.3645882914751264","No"
"AM32","BLK 255A ANG MO KIO ST 21","28117.7689","39172.0389","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","2","2.15","N","39172.0389 28117.7689","103.8343768155432 1.3705325244610715","No"
"AM43","BLK 455 ANG MO KIO ST 44","30669.2379","38959.5487","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","7","2.15","N","38959.5487 30669.2379","103.85730354666741 1.3686107186719945","No"
"AM46","BLK 588 ANG MO KIO STREET 52","30234.4145","39354.0323","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","5","2.15","N","39354.0323 30234.4145","103.85339638441604 1.3721783233234013","No"
"AM51","BLK 700 ANG MO KIO AVE 6","29489.0250","39103.7605","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","39103.7605 29489.0250","103.84669851649676 1.3699150017188533","No"
"AM64","BLK 590 ANG MO KIO ST 51","30201.2360","39274.2740","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","39274.2740 30201.2360","103.85309824605717 1.3714570202946914","No"
"AM79","BLK 596 ANG MO KIO STREEET 52","30004.2224","39370.6063","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","39370.6063 30004.2224","103.85132794564834 1.3723282292064236","No"
"AM80","BLK 130A ANG MO KIO ST 12","28950.7223","39184.6976","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","4","2.15","N","39184.6976 28950.7223","103.84186149048261 1.370646990171558","No"
"AM81","BLK 132A ANG MO KIO ST 12","28960.3285","39294.4158","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","4","2.15","N","39294.4158 28960.3285","103.84194781252401 1.3716392420558658","No"
"AM96","BLK 352A ANG MO KIO STREET 32","29961.0968","38457.9118","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","38457.9118 29961.0968","103.85094037122862 1.3640741492788218","No"
"AR1L","3 AND 5 DOVER ROAD","22359.0217","31801.6379","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO","0","4.50","N","31801.6379 22359.0217","103.78263177920336 1.3038767185244575","No"
"AR1M","BLK 2A DOVER ROAD","22474.2050","31687.9608","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","10","2.15","N","31687.9608 22474.2050","103.7836667743232 1.3028486840208244","No"
"AR2L","BLK 26 AND 27 DOVER CRESCENT","22194.6359","32026.8288","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO","0","0.00","N","32026.8288 22194.6359","103.78115465517361 1.3059132344622109","No"
"AR2M","BLK 28 DOVER CRESCENT","22252.4860","31896.9749","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","16","2.15","N","31896.9749 22252.4860","103.78167448932463 1.3047388928304147","No"
"AR5M","BLK 19A DOVER CRESCENT","22562.8641","32184.9758","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","32184.9758 22562.8641","103.78446333008414 1.3073435265931963","No"
"AR7L","12 TO 14 DOVER CLOSE EAST","22688.3753","32015.1518","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO","0","0.00","N","32015.1518 22688.3753","103.7855911365702 1.305807720561871","No"
"AR7M","BLK 12A DOVER CLOSE EAST","22643.9533","31900.5591","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","7","2.15","N","31900.5591 22643.9533","103.78519200383877 1.3047713772680545","No"
"AR9","BLK 20/22/23 DOVER CRESCENT","22448.9368","32178.4360","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","32178.4360 22448.9368","103.78343964059528 1.3072843627095663","No"
"AV1","BLK 120/120A/121-127 ALEXANDRA VILLAGE","24649.7520","29778.7266","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","4.50","N","29778.7266 24649.7520","103.80321526415888 1.2855825549923126","No"
"AV2","BLK 1001/1010 BUKIT MERAH LANE 1/3","24941.5778","29704.4978","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","NO","YES","0","0.00","N","29704.4978 24941.5778","103.80583744238771 1.2849112856214318","No"
"A1","BLK 215 ANG MO KIO STREET 22","28934.1777","38749.8516","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38749.8516 28934.1777","103.84171281191207 1.3667143987756958","No"
"A10","BLK 201/202 ANG MO KIO STREET 22","29247.0300","38962.0000","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38962.0000 29247.0300","103.8445240151766 1.3686329816140794","No"
"A100","BLK 650 ANG MO KIO STREET 61","29033.1895","39996.3712","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","0.00","N","39996.3712 29033.1895","103.842602544842 1.377987473194944","No"
"A11","BLK 223/226/226A-226D ANG MO KIO ST 22","28541.1400","38785.3600","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","38785.3600 28541.1400","103.8381810968511 1.3670355338571134","No"
"A12","BLK 229/230 ANG MO KIO ST 22","28605.4890","38954.8000","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38954.8000 28605.4890","103.83875932066393 1.3685678874797558","No"
"A13","BLK 232/233 ANG MO KIO ST 22","28388.5100","38892.0300","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","38892.0300 28388.5100","103.83680961188561 1.3680002216512896","No"
"A15","BLK 226E-226H ANG MO KIO ST 22","28790.0200","38777.8500","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38777.8500 28790.0200","103.84041745596973 1.3669676105068467","No"
"A2","BLK 206/207 ANG MO KIO STREET 22","29082.5900","38697.0700","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38697.0700 29082.5900","103.84304639719952 1.3662370557741226","No"
"A20","BLK 304/307/319 ANG MO KIO ST 31","29684.7366","38554.0251","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","38554.0251 29684.7366","103.84845709182149 1.3649433806415425","No"
"A21","BLK 325/326/301 ANG MO KIO STREET 31","29446.1477","38906.1139","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","38906.1139 29446.1477","103.84631322417091 1.368127558618916","No"
"A23","BLK 347A ANG MO KIO AVENUE 3","29735.5099","38818.5301","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","10","1.90","N","38818.5301 29735.5099","103.84891334011681 1.3673354664536141","No"
"A24","BLK 338/340 ANG MO KIO ST 32","29789.4100","38533.0200","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38533.0200 29789.4100","103.84939765277373 1.3647534118811009","No"
"A25","BLK 330/337 ANG MO KIO AVE 8","30037.5660","38313.6296","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","38313.6296 30037.5660","103.85162748927652 1.3627693074285172","No"
"A26","BLK 113/114/118 ANG MO KIO AVE 4","28236.9300","39419.4700","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","39419.4700 28236.9300","103.83544756414679 1.3727702022189985","No"
"A27","BLK 108/109/110 ANG MO KIO ST 11","28556.6700","39153.3000","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","5.40","N","39153.3000 28556.6700","103.8383206515405 1.3703630515467695","No"
"A28","BLK 103/105/107 ANG MO KIO ST 11","28461.3669","39295.5961","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","39295.5961 28461.3669","103.83746428814852 1.3716499282813763","No"
"A29","BLK 347 ANG MO KIO AVENUE 3","29713.5035","38806.4544","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38806.4544 29713.5035","103.84871559664501 1.367226259420182","No"
"A30","BLK 129/134 ANG MO KIO STREET 12","29012.7631","39222.5981","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","39222.5981 29012.7631","103.84241897219825 1.3709897466881407","No"
"A30A","BLK 133 ANG MO KIO STREET 12","29050.5605","39137.2773","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","39137.2773 29050.5605","103.84275860557467 1.3702181345377318","No"
"A31","BLK 119/128 ANG MO KIO ST 12","29155.3200","39163.0400","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","39163.0400 29155.3200","103.84369994453257 1.3704511192782494","No"
"A31A","BLK 125/126 ANG MO KIO STREET 12","29150.6699","39318.7539","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","39318.7539 29150.6699","103.84365816613547 1.3718593403230517","No"
"A33","BLK 253/254 ANG MO KIO STREET 21","28152.8391","39115.4784","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","4.50","N","39115.4784 28152.8391","103.83469194577 1.3700210113414353","No"
"A34","BLK 422/425 ANG MO KIO ST 42","30042.0000","38931.4300","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38931.4300 30042.0000","103.85166737410137 1.3683564732190343","No"
"A35","BLK 426/428/435 ANG MO KIO ST 43","30310.6600","38963.4900","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","38963.4900 30310.6600","103.85408147411323 1.3686463926053347","No"
"A36","BLK 436/443/445 ANG MO KIO ST 43","30443.9088","38715.8847","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","38715.8847 30443.9088","103.85527878732958 1.3664071280973513","No"
"A37","BLK 446/449/453 ANG MO KIO ST 43","30474.8188","38904.5192","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","38904.5192 30474.8188","103.85555655070138 1.3681130684869152","No"
"A38","BLK 407/410/421 ANG MO KIO AVE 10","30367.0774","38445.7028","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","38445.7028 30367.0774","103.85458838271062 1.3639637058040281","No"
"A39","BLK 401/405 ANG MO KIO AVE 10","30309.6300","38134.6900","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38134.6900 30309.6300","103.85407215463408 1.3611510216586793","No"
"A4","BLK 217/220 ANG MO KIO AVENUE 1","28876.2363","38636.7578","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","38636.7578 28876.2363","103.84119216501767 1.365691620587143","No"
"A40","BLK 471/476 ANG MO KIO ST 44","30633.4700","38267.9500","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","9.99","N","38267.9500 30633.4700","103.8569820859847 1.3623561505378592","No"
"A41","BLK 466/470 ANG MO KIO ST 44","30627.9600","38553.3200","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38553.3200 30627.9600","103.8569326000496 1.364936935305799","No"
"A42","BLK 461/465 ANG MO KIO ST 44","30675.9559","38735.0223","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38735.0223 30675.9559","103.85736389239304 1.3665801816289647","No"
"A43","BLK 457/458/460 ANG MO KIO ST 44","30887.7800","38670.5100","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38670.5100 30887.7800","103.8592672719764 1.3659967355493305","No"
"A44","BLK 459/456 ANG MO KIO ST 44","30856.9781","38804.1956","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38804.1956 30856.9781","103.8589905085286 1.3672057432732343","No"
"A45","BLK 570/578 ANG MO KIO ST 51","30438.5300","39214.6400","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","39214.6400 30438.5300","103.85523049600967 1.370917693067466","No"
"A47","BLK 562/565/560 ANG MO KIO STREET 54","30885.4750","39174.8899","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","39174.8899 30885.4750","103.85924660891077 1.3705581670513378","No"
"A48","BLK 571/73 ANG MO KIO ST 51","30374.1800","39154.2200","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","39154.2200 30374.1800","103.85465226092984 1.3703712814578117","No"
"A49","BLK 555/559 ANG MO KIO STREET 54","30724.1600","39260.1900","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","39260.1900 30724.1600","103.85779708766381 1.37132960595493","No"
"A50","BLK 548/552/556 ANG MO KIO STREET 54","30703.2900","39392.0900","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","39392.0900 30703.2900","103.85760956795286 1.372522464242247","No"
"A51","BLK 252/253A ANG MO KIO STREET 21","28117.6053","39054.6321","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","5.40","N","39054.6321 28117.6053","103.83437534502293 1.3694707392934409","No"
"A52","BLK 701/716 ANG MO KIO AVE 3/6","29513.9566","39155.7785","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","39155.7785 29513.9566","103.84692254711774 1.3703854326512566","No"
"A52L","BLK 700B/ 700C ANG MO KIO AVE 3/6","29426.2389","39033.6150","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO","0","4.50","N","39033.6150 29426.2389","103.84613433583942 1.369280633982194","No"
"A53","BLK 712A ANG MO KIO AVE 3/6","29508.9218","39208.8091","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","14","1.80","N","39208.8091 29508.9218","103.84687730858235 1.3708650227001156","No"
"A54","BLK 727/728 ANG MO KIO AVE 6","29401.8671","39382.3378","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","39382.3378 29401.8671","103.84591535458532 1.3724343595097768","No"
"A55","BLK 729/730 ANG MO KIO AVE 6/8","29485.5000","39515.4900","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","39515.4900 29485.5000","103.84666686250256 1.3736385362921244","No"
"A56","BLK 725/730 ANG MO KIO AVE 8","29538.8470","39411.5653","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","39411.5653 29538.8470","103.84714621818317 1.3726986757337118","No"
"A57","BLK 720/723 ANG MO KIO AVE 8","29518.5871","39336.4776","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","39336.4776 29518.5871","103.84696416467047 1.3720196104757487","No"
"A58","BLK 721/722 ANG MO KIO AVE 8","29603.1600","39372.6800","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","39372.6800 29603.1600","103.84772411430863 1.3723470075573316","No"
"A59","BLK 547/551 ANG MO KIO ST 54","30762.2950","39543.9937","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","3.80","N","39543.9937 30762.2950","103.85813978410101 1.3738962214127317","No"
"A60","BLK 540/546 ANG MO KIO ST 54","30514.5273","39606.8281","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","39606.8281 30514.5273","103.85591341875043 1.3744644954379837","No"
"A61","BLK 520/534/529 ANG MO KIO AVE 5/10","30096.8200","39574.3100","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","9.99","N","39574.3100 30096.8200","103.8521600154717 1.374170446123619","No"
"A63","BLK 501/513/508 ANG MO KIO ST 52/53","29789.5613","39690.0448","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","5.40","N","39690.0448 29789.5613","103.84939908200639 1.3752171305295215","No"
"A64","BLK 584/586 ANG MO KIO ST 51","30241.6957","39172.3075","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","5.40","N","39172.3075 30241.6957","103.85346179745191 1.370534868701229","No"
"A65","BLK 558/560 ANG MO KIO STREET 54","30904.4600","39226.9700","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","39226.9700 30904.4600","103.85941720762452 1.371029158960116","No"
"A66","BLK 601/604/603 ANG MO KIO AVE 5","28260.6400","40279.1600","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","5.40","N","40279.1600 28260.6400","103.83566062297803 1.380544930908412","No"
"A67","BLK 605/612 ANG MO KIO AVE 4/5","28499.2700","40184.2200","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","40184.2200 28499.2700","103.8378048893886 1.3796863244461357","No"
"A68","BLK 620/624/626 ANG MO KIO ST 61","28727.3335","40428.7342","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","40428.7342 28727.3335","103.83985421482706 1.3818976185660183","No"
"A69","BLK 623/625/627 ANG MO KIO ST 61","28960.0600","40400.4100","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","5.40","N","40400.4100 28960.0600","103.84194543574868 1.3816414579421723","No"
"A7","BLK 212/213 ANG MO KIO STREET 23","28888.4313","38935.4059","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","38935.4059 28888.4313","103.84130175438848 1.3683924870216928","No"
"A70","BLK 629/626 ANG MO KIO AVE 4","28755.4887","40287.5326","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","9.99","N","40287.5326 28755.4887","103.84010720676338 1.38062064114195","No"
"A71","BLK 628/632 ANG MO KIO ST 61","28826.1219","40219.9110","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","5.40","N","40219.9110 28826.1219","103.84074189671752 1.3800090936953147","No"
"A72","BLK 633/640 ANG MO KIO ST 61","29136.4400","40303.0500","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","5.40","N","40303.0500 29136.4400","103.84353033817357 1.380760962657339","No"
"A73","BLK 641/645 ANG MO KIO ST 61","28835.3369","40091.5441","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","40091.5441 28835.3369","103.84082469669582 1.3788481891377873","No"
"A74","BLK 646/649 ANG MO KIO ST 61","29166.9700","40069.8164","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","40069.8164 29166.9700","103.84380466372642 1.378651680283736","No"
"A75","BLK 177/182 ANG MO KIO AVE 4","28597.1669","39798.9610","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","39798.9610 28597.1669","103.83868455774677 1.3762021780623384","No"
"A76","BLK 613A ANG MO KIO AVENUE 4","28613.8871","39995.2242","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","9","2.00","N","39995.2242 28613.8871","103.8388348049752 1.377977111891701","No"
"A77","BLK 150/156 ANG MO KIO AVE 5","28741.1744","39815.6550","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","9.99","N","39815.6550 28741.1744","103.83997857029854 1.3763531493527383","No"
"A78","BLK 157/163 ANG MO KIO AVE 4","28564.0295","39632.2729","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","39632.2729 28564.0295","103.83838679093324 1.3746947111453929","No"
"A8","BLK 209/210 ANG MO KIO STREET 22","29111.6700","38975.6100","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","38975.6100 29111.6700","103.84330771146671 1.368756070993236","No"
"A81","BLK 170/172 ANG MO KIO ST 13","28351.6931","39594.7701","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","9.99","N","39594.7701 28351.6931","103.83647879468057 1.3743555525255606","No"
"A82","BLK 173/176 ANG MO KIO AVE 4","28342.7741","39740.6593","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","39740.6593 28342.7741","103.8363986527224 1.37567492239482","No"
"A83","BLK 5022 TO 5095 ANG MO KIO IND PARK 2","31046.8301","39589.4805","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","39589.4805 31046.8301","103.8606965409108 1.3743075596364955","No"
