"car_park_no","address","x_coord","y_coord","car_park_type","type_of_parking_system","short_term_parking","free_parking","night_parking","car_park_decks","gantry_height","car_park_basement","combined_coords","converted_combined_coords","central"
"C13M","BLK 309A CLEMENTI AVE 4","20528.1198","33646.8063","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","7","2.15","N","33646.8063 20528.1198","103.76617984015766 1.3205633714110538","No"
"C14M","BLK 318A CLEMENTI AVE 4","20417.4455","33296.1766","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","2","2.15","N","33296.1766 20417.4455","103.76518546060046 1.3173923753204826","No"
"C15M","BLK 440 CLEMENTI AVE 3","20290.6787","33170.3249","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","6","2.15","N","33170.3249 20290.6787","103.76404642824535 1.3162541862213404","No"
"C16","BLK 430-435 CLEMENTI AVE 3","20116.5191","32955.7857","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","3.50","N","32955.7857 20116.5191","103.76248157167105 1.3143139266928399","No"
"C17","BLK 442-444,442A CLEMENTI AVE 3","20273.9935","32905.3373","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","0.00","N","32905.3373 20273.9935","103.76389656958308 1.3138577294992604","No"
"C18","BLK 426/428 CLEMENTI AVE 3","20215.8784","32729.9597","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","4.50","N","32729.9597 20215.8784","103.76337442086897 1.3122716629093103","No"
"C18A","BLK 426/427 CLEMENTI AVE 3","20306.3068","32672.9468","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-7PM","NO","NO","0","0.00","N","32672.9468 20306.3068","103.76418697824268 1.3117560814715383","No"
"C19M","BLK 445 CLEMENTI AVE3","20269.3220","32850.6337","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","14","2.15","N","32850.6337 20269.3220","103.76385460751823 1.3133630086406882","No"
"C2M","BLK 463 CLEMENTI AVENUE 1","20716.0097","32578.7073","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","6","2.15","N","32578.7073 20716.0097","103.76786837990882 1.310903912880468","No"
"C20","BLK 449-451 CLEMENTI AVE 3","20425.9232","32848.9500","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","4.50","N","32848.9500 20425.9232","103.76526174661915 1.3133478208276776","No"
"C20M","BLK 462A CLEMENTI AVENUE 3","20469.2131","32645.0967","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","18","2.15","N","32645.0967 20469.2131","103.76565077719496 1.3115042554415337","No"
"C21L","BLK 454 TO 460 CLEMENTI AVE 3","20624.0039","32590.9865","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO","0","0.00","N","32590.9865 20624.0039","103.76704166044891 1.3110149396716515","No"
"C21M","BLK 455A CLEMENTI AVE 3","20566.6991","32662.4476","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","32662.4476 20566.6991","103.7665267320007 1.3116611944348089","No"
"C22M","BLK 109A CLEMENTI ST 11","20991.1005","33766.9817","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","6","1.90","N","33766.9817 20991.1005","103.77033993399895 1.3216503041788255","No"
"C24","BLK 110/118 CLEMENTI STREET 13","21096.4707","34048.6484","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","34048.6484 21096.4707","103.77128667696373 1.3241976206862778","No"
"C25","BLK 101-104 CLEMENTI STREET 14","20840.7482","33844.4911","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","33844.4911 20840.7482","103.76898892209617 1.3223512364917545","No"
"C26","BLK 105-107 CLEMENTI STREET 12","20945.3775","33870.6421","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.30","N","33870.6421 20945.3775","103.76992906520272 1.322587761086612","No"
